term,pleasure,arousal,dominance
success,8.29,6.11,6.89
suffocate,1.56,6.03,3.44
sugar,6.74,5.64,5.5
suicide,1.25,5.73,3.58
sun,7.55,5.04,6.16
sunlight,7.76,6.1,5.63
sunrise,7.86,5.06,5.29
sunset,7.68,4.2,5.66
surgery,2.86,6.35,2.75
surprised,7.47,7.47,6.11
suspicious,3.76,6.25,4.47
swamp,5.14,4.86,5.29
sweetheart,8.42,5.5,6.03
swift,6.46,5.39,6.29
swimmer,6.54,4.82,5.96
syphilis,1.68,5.69,3.33
table,5.22,2.92,4.47
talent,7.56,6.27,6.49
tamper,4.1,4.95,4.58
tank,5.16,4.88,4.78
taste,6.66,5.22,5.5
taxi,5.0,3.41,4.64
teacher,5.68,4.05,5.11
tease,4.84,5.87,4.67
tender,6.93,4.88,5.33
tennis,6.02,4.61,5.61
tense,3.56,6.53,5.22
termite,3.58,5.39,3.87
terrible,1.93,6.27,3.58
terrific,8.16,6.23,6.6
terrified,1.72,7.86,3.08
terrorist,1.69,7.27,2.65
thankful,6.89,4.34,5.32
theory,5.3,4.62,4.88
thermometer,4.73,3.79,4.39
thief,2.13,6.89,3.79
thorn,3.64,5.14,4.45
thought,6.39,4.83,6.02
thoughtful,7.65,5.72,5.61
thrill,8.05,8.02,6.54
tidy,6.3,3.98,5.49
time,5.31,4.64,4.63
timid,3.86,4.11,3.09
tobacco,3.28,4.83,4.08
tomb,2.94,4.73,3.72
tool,5.19,4.33,5.67
toothache,1.98,5.55,3.9
tornado,2.55,6.83,4.3
torture,1.56,6.1,3.33
tower,5.46,3.95,5.78
toxic,2.1,6.4,4.42
toy,7.0,5.11,6.09
tragedy,1.78,6.24,3.5
traitor,2.22,5.78,4.61
trash,2.67,4.16,5.24
trauma,2.1,6.33,2.84
travel,7.1,6.21,6.31
treasure,8.27,6.75,6.36
treat,7.36,5.62,5.78
tree,6.32,3.42,5.08
triumph,7.8,5.78,6.98
triumphant,8.82,6.78,6.95
trophy,7.78,5.39,6.44
trouble,3.03,6.85,4.85
troubled,2.17,5.94,3.91
truck,5.47,4.84,5.33
trumpet,5.75,4.97,4.57
trunk,5.09,4.18,5.14
trust,6.68,5.3,6.61
truth,7.8,5.0,6.47
tumor,2.36,6.51,3.58
tune,6.93,4.71,5.74
twilight,7.23,4.7,5.59
ugly,2.43,5.38,4.26
ulcer,1.78,6.12,4.17
umbrella,5.16,3.68,5.42
unfaithful,2.05,6.2,3.02
unhappy,1.57,4.18,3.34
unit,5.59,3.75,5.11
untroubled,7.62,3.89,5.53
upset,2.0,5.86,4.08
urine,3.25,4.2,5.24
useful,7.14,4.26,5.93
useless,2.13,4.87,3.92
utensil,5.14,3.57,5.4
vacation,8.16,5.64,6.8
vagina,6.14,5.55,5.88
valentine,8.11,6.06,5.81
vampire,4.26,6.37,5.05
vandal,2.71,6.4,3.91
vanity,4.3,4.98,4.8
vehicle,6.27,4.63,5.77
venom,2.68,6.08,3.94
vest,5.25,3.95,5.09
victim,2.18,6.06,2.69
victory,8.32,6.63,7.26
vigorous,6.79,5.9,5.41
village,5.92,4.08,4.94
violent,2.29,6.89,5.16
violin,5.43,3.49,5.18
virgin,6.45,5.51,6.24
virtue,6.22,4.52,6.13
vision,6.62,4.66,6.02
volcano,4.84,6.33,3.25
vomit,2.06,5.75,3.58
voyage,6.25,5.55,5.18
wagon,5.37,3.98,5.05
war,2.08,7.49,4.5
warmth,7.41,3.73,5.61
wasp,3.37,5.5,3.76
waste,2.93,4.14,4.72
watch,5.78,4.1,5.37
water,6.61,4.97,5.08
waterfall,7.88,5.37,5.2
wealthy,7.7,5.8,6.77
weapon,3.97,6.03,5.19
weary,3.79,3.81,4.0
wedding,7.82,5.97,6.68
whistle,5.81,4.69,5.27
white,6.47,4.37,5.98
whore,2.3,5.85,4.61
wicked,2.96,6.09,4.36
wife,6.33,4.93,5.57
win,8.38,7.72,7.39
windmill,5.6,3.74,5.24
window,5.91,3.97,4.91
wine,5.95,4.78,5.31
wink,6.93,5.44,5.7
wise,7.52,3.91,6.7
wish,7.09,5.16,5.28
wit,7.32,5.42,6.38
woman,6.64,5.32,6.33
wonder,6.03,5.0,5.32
world,6.5,5.32,5.26
wounds,2.51,5.82,3.92
writer,5.52,4.33,4.73
yacht,6.95,5.61,6.1
yellow,5.61,4.43,5.47
young,6.89,5.64,5.3
youth,6.75,5.67,5.11
zest,6.79,5.59,6.0
